,ID,State,Name,County,Lat,Lon,Combust,Fuel,FuelCat,Capacity,HeatInput,NetGen,NOX,SO2,CO2,CoalGen,OilGen,GasGen,NuclearGen,HydroGen,BiomassGen,WindGen,SolarGen,GeoGen,OtherFossilGen,OtherGen,NonRenewGen,RenewGen,CombGen,NonCombGen,CoalPortion,CapFac,SO2OutRate,CO2OutRate,NOXOutRate,NOXInRate,CO2InRate,SO2InRate
45,46,AK,Kivalina,Northwest Arctic,67.63,-163.7189,1.0,JF,OIL,1.1,10300.0,1202.0,12.56,0.0,823.1,0.0,1202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.0,0.0,1202.0,0.0,0.0,0.12474055624740556,0.0,0.68477537437604,0.010449251247920134,0.0012194174757281554,0.07991262135922331,0.0
46,47,AK,Kodiak,Kodiak Island,57.785,-152.4247,1.0,DFO,OIL,22.3,98240.0,9766.0,119.75,4.03,8037.2,0.0,9766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9766.0,0.0,9766.0,0.0,0.0,0.049992833302618916,0.0004126561540036863,0.822977677657178,0.01226192914192095,0.0012189535830618892,0.08181188925081433,4.102198697068404e-05
47,48,AK,Kotlik,Wade Hampton,62.9456,-163.7614,1.0,JF,OIL,1.4,15247.0,1944.0,18.59,0.0,1218.4,0.0,1944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,0.0,1944.0,0.0,0.0,0.15851272015655576,0.0,0.6267489711934157,0.00956275720164609,0.001219256247130583,0.0799108021250082,0.0
48,49,AK,Kotzebue,Northwest Arctic,66.2053,-160.2692,0.5,DFO,OIL,14.6,176443.0,20759.0,215.08,7.02,14435.2,0.0,20758.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20758.0,1.0,20758.0,1.0,0.0,0.16231156564708826,0.00033816657835155836,0.6953706825955008,0.010360807360662846,0.001218977233440828,0.0818122566494562,3.9786219912379636e-05
49,50,AK,Koyuk,Nome,64.93,-161.16,1.0,JF,OIL,1.1,11619.5,1367.0,14.16,0.0,928.5,0.0,1367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367.0,0.0,1367.0,0.0,0.0,0.14186384391863843,0.0,0.6792245793708851,0.01035844915874177,0.0012186410774990318,0.07990877404363354,0.0
50,51,AK,Lake Dorothy Hydroelectric Project,Juneau,58.2325,-134.0533,0.0,WAT,HYDRO,14.3,0.0,58741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58741.0,0.0,58741.0,0.0,0.468922629881534,0.0,0.0,0.0,,,
51,52,AK,McGrath,Yukon-Koyukuk,63.2369,-154.2194,1.0,DFO,OIL,3.2,23256.0,2736.0,28.35,1.01,1902.6,0.0,2736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2736.0,0.0,2736.0,0.0,0.0,0.0976027397260274,0.0003691520467836257,0.6953947368421052,0.010361842105263159,0.0012190402476780187,0.0818111455108359,4.3429652562779496e-05
52,53,AK,Mountain Village,Bethel,62.1656,-163.0783,1.0,JF,OIL,1.7,29812.0,2805.0,36.34,0.0,2382.4,0.0,2805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2805.0,0.0,2805.0,0.0,0.0,0.18835616438356165,0.0,0.8493404634581105,0.012955436720142604,0.0012189722259492823,0.07991412853884342,0.0
53,54,AK,Naknek,Bristol Bay,58.8128,-156.7319,1.0,DFO,OIL,9.9,178066.5,20949.0,217.06,7.29,14568.0,0.0,20949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20949.0,0.0,20949.0,0.0,0.0,0.2415594299155943,0.00034798797078619504,0.6954031218673923,0.010361353763902811,0.001218982795753272,0.08181213198439909,4.093976126896412e-05
54,55,AK,New Halen,Lake and Peninsula,60.065,-153.1217,1.0,DFO,OIL,1.5,5316.0,411.0,6.48,0.22,434.9,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,411.0,0.0,0.0,0.03127853881278539,0.0005352798053527981,1.0581508515815086,0.015766423357664233,0.0012189616252821671,0.08180963130173062,4.1384499623777275e-05
55,56,AK,Nikiski Co-Generation,Kenai Peninsula,60.5619,-150.6222,1.0,NG,GAS,37.9,2254608.0,265248.0,311.14,3.95,131904.7,0.0,0.0,265248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265248.0,0.0,265248.0,0.0,0.0,0.7989301333718871,1.4891723971528533e-05,0.4972881982145012,0.0011730154421522498,0.0001380018167237941,0.05850449390758838,1.7519675260621803e-06
56,57,AK,Noatak,Northwest Arctic,67.57,-162.98,1.0,JF,OIL,1.2,20881.0,1807.0,25.45,0.0,1668.7,0.0,1807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1807.0,0.0,1807.0,0.0,0.0,0.1718987823439878,0.0,0.923464305478694,0.014084117321527393,0.0012188113596092141,0.07991475504046741,0.0
57,58,AK,Noorvik,Northwest Arctic,66.8553,-160.4958,1.0,JF,OIL,1.0,17284.0,1998.0,21.07,0.0,1381.2,0.0,1998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998.0,0.0,1998.0,0.0,0.0,0.22808219178082192,0.0,0.6912912912912913,0.010545545545545546,0.0012190465170099514,0.07991205739412173,0.0
58,59,AK,North Pole,Fairbanks,64.7356,-147.3481,1.0,JF,OIL,181.0,4460957.0,520322.0,691.45,0.75,361473.5,0.0,520322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520322.0,0.0,520322.0,0.0,0.0,0.32816292035621486,1.4414151237118554e-06,0.6947111596280765,0.00132888864972075,0.00015500037323829842,0.08103048292104138,1.6812535964816519e-07
59,60,AK,Northway,Southeast Fairbanks,62.9617,-141.9372,1.0,DFO,OIL,1.1,13535.0,1257.0,16.5,0.55,1107.3,0.0,1257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257.0,0.0,1257.0,0.0,0.0,0.13044831880448318,0.00043754972155926814,0.8809069212410501,0.013126491646778043,0.0012190616919098634,0.08181012190616918,4.063538973032878e-05
60,61,AK,NSB Anaktuvuk Pass,North Slope,68.7494,-152.1319,1.0,DFO,OIL,2.8,27650.5,3253.0,33.71,1.13,2262.1,0.0,3253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3253.0,0.0,3253.0,0.0,0.0,0.13262393998695368,0.0003473716569320627,0.6953888718106364,0.010362742084229942,0.0012191461275564638,0.08181045550713369,4.0867253756713254e-05
